dm_time,send_date,send_month,send_time,text,user_id
0 days 00:02:34.499000000,2021-01-10,2021-01,2021-01-10 15:30:10,山东国企，只有2天,fdcafb7c
0 days 00:13:17.843000000,2021-01-10,2021-01,2021-01-10 15:30:07,这句话很真实,1b11776a
0 days 00:09:17.079000000,2021-01-10,2021-01,2021-01-10 15:30:05,这样直接让你走人是违法的吧,450baf6e
0 days 00:00:26.108000000,2021-01-10,2021-01,2021-01-10 15:29:59,保护,b7a5113
0 days 00:00:21.583000000,2021-01-10,2021-01,2021-01-10 15:29:55,保护,b7a5113
0 days 00:03:58.777000000,2021-01-10,2021-01,2021-01-10 15:29:35,对啊，为什么要忍着上这个班呢，干别的不好吗,c32fac71
0 days 00:14:07.144000000,2021-01-10,2021-01,2021-01-10 15:29:28,世界不应该是这样的！,11fe79af
0 days 00:04:04.763000000,2021-01-10,2021-01,2021-01-10 15:29:12,世界不该是这样的！,a8f88bc8
0 days 00:01:57.330000000,2021-01-10,2021-01,2021-01-10 15:28:58,为啥不辞职?,2dd0c14d
0 days 00:08:22.239000000,2021-01-10,2021-01,2021-01-10 15:28:55,我要气炸了！！！真是无法无天了！！！,450baf6e
0 days 00:13:55.255000000,2021-01-10,2021-01,2021-01-10 15:28:28,非常同意,dfbf9a4b
0 days 00:10:53.739000000,2021-01-10,2021-01,2021-01-10 15:28:24,我惊了,3613f595
0 days 00:05:57.067000000,2021-01-10,2021-01,2021-01-10 15:28:03,加油,b6502dbc
0 days 00:03:33.218000000,2021-01-10,2021-01,2021-01-10 15:27:56,不愧是拼多多，整个公司制度就是典型的“拼多多”,9d663822
0 days 00:14:07.013000000,2021-01-10,2021-01,2021-01-10 15:27:12,你是个正常人，这个主管已经不当人了,b82a95eb
0 days 00:05:32.707000000,2021-01-10,2021-01,2021-01-10 15:27:03,支持你,20272bba
0 days 00:13:36.199000000,2021-01-10,2021-01,2021-01-10 15:27:02,改变要员工切身体会到了才行吧，嘴上说说谁都会啦,23c584d5
0 days 00:02:28.675000000,2021-01-10,2021-01,2021-01-10 15:26:26,“法定节假日”,9d663822
0 days 00:12:18.035000000,2021-01-10,2021-01,2021-01-10 15:26:23,凭什么不能说，我们只是说出了我们看到的,18752592
0 days 00:01:32.970000000,2021-01-10,2021-01,2021-01-10 15:25:59,弹幕说每周300小时的怕不是？？人说的是每个月啊,b5323c87
0 days 00:14:18.712000000,2021-01-10,2021-01,2021-01-10 15:25:50,致敬！勇士,41f9b003
0 days 00:03:54.921000000,2021-01-10,2021-01,2021-01-10 15:25:40,有几个前同事在，真的就这样子,c3ab8c02
